          68          69 (-0.232357086734017,1.690470699604387E-017)
          68          70 (-0.570831220298497,2.274324949011794E-016)
          68          71 (-2.620139759625908E-002,-4.757341788535174E-017)
          68          72 (0.518798210397804,1.376565438537688E-016)
          68          73 (-1.417684932376798E-003,-4.695466673103787E-018)
          68          74 (5.643809406471571E-002,-1.785098914075623E-017)
          68          75 (-0.182846502998901,-1.210533267503426E-016)
          68          76 (-0.171806333237501,3.148726328328533E-017)
          68          77 (-0.177939836001354,4.489228514200002E-017)
          68          78 (5.578152334130033E-002,-3.761178104411608E-017)
          68          79 (-2.077304744008168E-003,-4.496527357099140E-017)
          68          80 (1.887991134190675E-002,1.039416893056476E-016)
          68          81 (-3.449824241037802E-002,-1.224596377245144E-016)
          68          82 (0.540362873853529,6.066386053205364E-017)
          68          83 (5.493315756958024E-003,-5.727015074247169E-017)
          68          84 (-0.544136066068715,1.885488033725825E-016)
          68          85 (6.190459821459752E-003,-4.825617145604246E-017)
          68          86 (0.535192968133530,3.422492538150286E-017)
          68          87 (-3.408355673048297E-002,8.226694548590038E-018)
          68          88 (-0.488808394179254,-8.417745887705259E-017)
          68          89 (-1.015063402831468E-002,6.251018811881645E-017)
          68          90 (-1.069198445391222E-002,-7.210793729616731E-018)
          68          91 (6.046833509466426E-004,3.787439267807502E-017)
          68          92 (3.107492564097264E-002,4.947914026467631E-017)
          68          93 (-7.807736047247817E-004,-7.114537946534191E-017)
          68          94 (-9.545508365227672E-003,-5.697998505962845E-017)
          68          95 (-7.072968124102961E-003,1.447492586268106E-016)
          68          96 (3.528650635720939E-002,3.304271455865629E-017)
          68          97 (-1.400210530151558E-002,5.883124119922829E-017)
          68          98 (-0.418719006441351,3.533686421029381E-017)
          68          99 (-1.372935876605317E-002,1.165267260515368E-016)
          68         100 (0.419076144456401,6.887047409327042E-017)
          68         101 (-1.483709969093837E-002,9.750951523027747E-017)
          68         102 (-0.414449109845190,1.312456743076681E-016)
          68         103 (-1.388445383308960E-002,5.254194930912931E-017)
          68         104 (0.415706890162937,3.463063697399781E-017)
          68         105 (9.875670223887083E-004,1.216751955008696E-016)
          68         106 (2.850788457706875E-002,-3.976193672065644E-017)
          68         107 (-2.259458472693448E-003,-1.969249820748952E-016)
          68         108 (-4.362733238392636E-003,1.173136325516002E-016)
          68         109 (-2.943459737095826E-004,5.075336602281540E-017)
          68         110 (2.770078217603046E-002,1.133372302756702E-016)
          68         111 (-1.900015631266592E-003,-3.925750506866043E-017)
          68         112 (-3.579281078609980E-003,1.078107866707393E-016)
          68         113 (-1.197863469771339E-002,-3.403417892495848E-017)
          68         114 (0.339567263565661,-1.095825899539057E-017)
          68         115 (-1.217194256836643E-002,-1.196874528329360E-016)
          68         116 (-0.338503880157986,-1.642122169360528E-017)
          68         117 (-1.105420014572566E-002,-8.122598927971364E-017)
          68         118 (0.335819999108451,-8.943925065638504E-018)
          68         119 (-1.177312691150561E-002,4.678067735413945E-017)
          68         120 (-0.337517710082322,4.406391575847622E-017)
          68         121 (-2.198015118209164E-003,-7.555109307863067E-017)
          68         122 (-2.924581786576593E-003,-7.832765635900850E-017)
          68         123 (7.951944760702487E-004,-3.528055262869289E-017)
          68         124 (2.367081406456811E-002,4.150396237528646E-017)
          68         125 (-1.657315230261076E-003,-1.769002948214886E-016)
          68         126 (-2.401786360409097E-003,-3.500265101918833E-017)
          68         127 (1.059837950663145E-003,1.679129984908841E-016)
          68         128 (2.333362552301456E-002,-3.077567194762250E-017)
          68         129 (-9.908358082866803E-003,8.454774219787475E-017)
          68         130 (-0.273282321351930,6.724259601469650E-017)
          68         131 (-9.723448319983079E-003,1.105563803004993E-017)
          68         132 (0.272955443762476,-9.536880403638298E-017)
          68         133 (-1.053931962921378E-002,4.657927146936613E-017)
          68         134 (-0.270023879935154,6.275949266011536E-017)
          68         135 (-9.946132693444125E-003,5.026730755732585E-017)
